date,home_team,away_team,home_score,away_score,round,"home_winner
",home_loss,home_draw
2019-07-28,GOI,ATLMG,0,0,12,0,0,1
2019-07-28,SAN,AVA,3,1,12,1,0,0
2019-07-29,CSA,GRE,0,0,12,0,0,1
2019-08-03,FLU,INT,2,1,13,1,0,0
2019-08-03,CEA,FOR,2,1,13,1,0,0
2019-08-04,BAH,FLA,3,0,13,1,0,0
2019-08-04,AVA,BOT,0,2,13,0,1,0
2019-08-04,COR,PAL,1,1,13,0,0,1
2019-08-04,ATLMG,CRU,2,0,13,1,0,0
2019-08-04,SAN,GOI,6,1,13,1,0,0
2019-08-04,VAS,CSA,0,0,13,0,0,1
2019-08-05,GRE,CHA,3,3,13,0,0,1
2019-08-07,COR,GOI,2,0,13,1,0,0
2019-08-10,ATLMG,FLU,2,1,14,1,0,0
2019-08-10,SAO,SAN,3,2,14,1,0,0
2019-08-10,FLA,GRE,3,1,14,1,0,0
2019-08-10,CEA,CHA,4,1,14,1,0,0
2019-08-11,INT,COR,0,0,14,0,0,1
2019-08-11,PAL,BAH,2,2,14,0,0,1
2019-08-11,GOI,VAS,0,1,14,0,1,0
2019-08-11,AVA,CRU,2,2,14,0,0,1
2019-08-11,BOT,ATLPR,2,1,14,1,0,0
2019-08-12,CSA,FOR,0,2,14,0,1,0
2019-08-17,VAS,FLA,1,4,15,0,1,0
2019-08-17,COR,BOT,2,0,15,1,0,0
2019-08-17,GRE,PAL,1,1,15,0,0,1
2019-08-17,ATLPR,ATLMG,1,0,15,1,0,0
2019-08-17,FOR,INT,0,1,15,0,1,0
2019-08-18,CRU,SAN,2,0,15,1,0,0
2019-08-18,BAH,GOI,1,1,15,0,0,1
2019-08-18,CHA,AVA,1,0,15,1,0,0
2019-08-18,FLU,CSA,0,1,15,0,1,0
2019-08-21,ATLPR,SAO,0,1,15,0,1,0
2019-08-24,ATLMG,BAH,0,1,16,0,1,0
2019-08-24,GRE,ATLPR,2,1,16,1,0,0
2019-08-25,CEA,FLA,0,3,16,0,1,0
2019-08-25,AVA,COR,1,1,16,0,0,1
2019-08-25,VAS,SAO,2,0,16,1,0,0
2019-08-25,CSA,CRU,1,1,16,0,0,1
2019-08-25,GOI,INT,2,1,16,1,0,0
2019-08-25,SAN,FOR,3,3,16,0,0,1
2019-08-26,BOT,CHA,0,0,16,0,0,1
2019-08-31,INT,BOT,3,2,17,1,0,0
2019-08-31,CHA,SAN,0,1,17,0,1,0
2019-08-31,SAO,GRE,0,0,17,0,0,1
2019-08-31,BAH,CSA,1,0,17,1,0,0
2019-08-31,ATLPR,CEA,1,0,17,1,0,0
2019-09-01,CRU,VAS,1,0,17,1,0,0
2019-09-01,FLA,PAL,3,0,17,1,0,0
2019-09-01,COR,ATLMG,1,0,17,1,0,0
2019-09-01,FOR,GOI,2,0,17,1,0,0
2019-09-02,FLU,AVA,0,1,17,0,1,0
2019-09-07,AVA,FLA,0,3,18,0,1,0
2019-09-07,VAS,BAH,0,2,18,0,1,0
2019-09-07,FOR,FLU,0,1,18,0,1,0
2019-09-07,GOI,PAL,1,2,18,0,1,0
2019-09-07,INT,SAO,1,0,18,1,0,0
2019-09-07,COR,CEA,2,2,18,0,0,1
2019-09-08,BOT,ATLMG,2,1,18,1,0,0
2019-09-08,CRU,GRE,1,4,18,0,1,0
2019-09-08,SAN,ATLPR,1,1,18,0,0,1
2019-09-08,CSA,CHA,2,0,18,1,0,0
2019-09-10,PAL,FLU,3,0,18,1,0,0
2019-09-14,CEA,BOT,0,0,19,0,0,1
2019-09-14,CHA,VAS,1,2,19,0,1,0
2019-09-14,FLA,SAN,1,0,19,1,0,0
2019-09-14,PAL,CRU,1,0,19,1,0,0
2019-09-15,FLU,COR,1,0,19,1,0,0
2019-09-15,ATLMG,INT,1,3,19,0,1,0
2019-09-15,GRE,GOI,3,0,19,1,0,0
2019-09-15,ATLPR,AVA,0,1,19,0,1,0
